R;ADC;T
1450.20;526;165.77;
1458.47;529;166.86;
1452.95;527;166.13;
1452.95;527;166.13;
1452.95;527;166.13;
1455.71;528;166.50;
1461.23;530;167.22;
1458.47;529;166.86;
1461.23;530;167.22;
1463.98;531;167.58;
1458.47;529;166.86;
1455.71;528;166.50;
1463.98;531;167.58;
1461.23;530;167.22;
1455.71;528;166.50;
1458.47;529;166.86;
1458.47;529;166.86;
1463.98;531;167.58;
1461.23;530;167.22;
1458.47;529;166.86;
1463.98;531;167.58;
1463.98;531;167.58;
1469.50;533;168.31;
1463.98;531;167.58;
1466.74;532;167.95;
1469.50;533;168.31;
1466.74;532;167.95;
1463.98;531;167.58;
1463.98;531;167.58;
1466.74;532;167.95;
1472.25;534;168.67;
1472.25;534;168.67;
1472.25;534;168.67;
1475.01;535;169.03;
1472.25;534;168.67;
1472.25;534;168.67;
1477.77;536;169.39;
1475.01;535;169.03;
1469.50;533;168.31;
1469.50;533;168.31;
1472.25;534;168.67;
1475.01;535;169.03;
1472.25;534;168.67;
1475.01;535;169.03;
1472.25;534;168.67;
1475.01;535;169.03;
1480.53;537;169.75;
1475.01;535;169.03;
1480.53;537;169.75;
1483.28;538;170.11;
1477.77;536;169.39;
1480.53;537;169.75;
1477.77;536;169.39;
1477.77;536;169.39;
1477.77;536;169.39;
1477.77;536;169.39;
1477.77;536;169.39;
1486.04;539;170.47;
1477.77;536;169.39;
1480.53;537;169.75;
1480.53;537;169.75;
1477.77;536;169.39;
1483.28;538;170.11;
1477.77;536;169.39;
1480.53;537;169.75;
1488.80;540;170.83;
1486.04;539;170.47;
1483.28;538;170.11;
1486.04;539;170.47;
1483.28;538;170.11;
1488.80;540;170.83;
1483.28;538;170.11;
1483.28;538;170.11;
1480.53;537;169.75;
1480.53;537;169.75;
1477.77;536;169.39;
1488.80;540;170.83;
1483.28;538;170.11;
1483.28;538;170.11;
1483.28;538;170.11;
1486.04;539;170.47;
1491.55;541;171.18;
1486.04;539;170.47;
1483.28;538;170.11;
1488.80;540;170.83;
1488.80;540;170.83;
1491.55;541;171.18;
1491.55;541;171.18;
1491.55;541;171.18;
1486.04;539;170.47;
1491.55;541;171.18;
1497.07;543;171.90;
1494.31;542;171.54;
1494.31;542;171.54;
1497.07;543;171.90;
1494.31;542;171.54;
1494.31;542;171.54;
1499.82;544;172.26;
1497.07;543;171.90;
1497.07;543;171.90;
1497.07;543;171.90;
1499.82;544;172.26;
1502.58;545;172.61;
1497.07;543;171.90;
1497.07;543;171.90;
1502.58;545;172.61;
1499.82;544;172.26;
1497.07;543;171.90;
1499.82;544;172.26;
1499.82;544;172.26;
1505.34;546;172.97;
1499.82;544;172.26;
1502.58;545;172.61;
1502.58;545;172.61;
1502.58;545;172.61;
1508.10;547;173.33;
1502.58;545;172.61;
1502.58;545;172.61;
1508.10;547;173.33;
1502.58;545;172.61;
1499.82;544;172.26;
1508.10;547;173.33;
1499.82;544;172.26;
1502.58;545;172.61;
1502.58;545;172.61;
1505.34;546;172.97;
1510.85;548;173.68;
1508.10;547;173.33;
1505.34;546;172.97;
1505.34;546;172.97;
1505.34;546;172.97;
1510.85;548;173.68;
1508.10;547;173.33;
1505.34;546;172.97;
1510.85;548;173.68;
1508.10;547;173.33;
1513.61;549;174.04;
1508.10;547;173.33;
1513.61;549;174.04;
1510.85;548;173.68;
1513.61;549;174.04;
1510.85;548;173.68;
1516.37;550;174.39;
1510.85;548;173.68;
1510.85;548;173.68;
1513.61;549;174.04;
1516.37;550;174.39;
1521.88;552;175.10;
1516.37;550;174.39;
1516.37;550;174.39;
1524.64;553;175.46;
1521.88;552;175.10;
1516.37;550;174.39;
1519.12;551;174.75;
1519.12;551;174.75;
1521.88;552;175.10;
